data_code,year,month,day,hour,minute,second,group_number,group_spot_number,projected_umbra,projected_whole_spot,corrected_projected_umbra,corrected_projected_whole_spot,heliographic_latitude,heliographic_longitude,lcm,position_angle,center_distance
s,2001,01,02,12,33,18,9289,10,1,-1,1,-1,-7.37,204.66,7.44,240.43,0.1483
s,2001,01,02,12,33,18,9289,11,1,39,0,19,-5.75,204.25,7.02,249.87,0.1301
s,2001,01,02,12,33,18,9289,12,2,-11,1,-11,-6.01,203.86,6.62,246.79,0.1253
s,2001,01,02,12,33,18,9289,13,0,2,0,1,-8.96,203.74,6.51,228.13,0.1511
s,2001,01,02,12,33,18,9289,14,0,1,0,1,-9.02,203.46,6.25,226.64,0.1485
s,2001,01,02,12,33,18,9289,15,0,2,0,1,-6.26,203.28,6.06,243.09,0.1183
s,2001,01,02,12,33,18,9289,16,0,3,0,1,-6.55,203.02,5.80,239.81,0.1168
s,2001,01,02,12,33,18,9289,17,0,1,0,1,-8.52,202.80,5.56,225.97,0.1340
s,2001,01,02,12,33,18,9289,18,0,2,0,1,-6.86,202.63,5.39,235.69,0.1135
s,2001,01,02,12,33,18,9289,19,0,2,0,1,-7.24,201.84,4.60,228.54,0.1068
s,2001,01,02,12,33,18,9289,20,0,1,0,1,-7.18,201.53,4.30,227.09,0.1020
s,2001,01,02,12,33,18,9289,21,0,1,0,1,-7.62,201.27,4.05,222.31,0.1045
s,2001,01,02,12,33,18,9289,22,0,4,0,2,-7.08,201.06,3.84,224.62,0.0952
s,2001,01,02,12,33,18,9289,23,0,2,0,1,-7.41,200.96,3.73,221.38,0.0981
s,2001,01,02,12,33,18,9289,24,0,5,0,2,-7.00,200.67,3.43,221.94,0.0893
s,2001,01,02,12,33,18,9289,25,1,11,0,6,-7.82,200.45,3.21,214.66,0.0981
s,2001,01,02,12,33,18,9289,26,0,3,0,1,-9.66,200.43,3.21,206.19,0.1256
s,2001,01,02,12,33,18,9289,27,0,1,0,1,-6.55,200.03,2.81,219.91,0.0762
s,2001,01,02,12,33,18,9289,28,0,4,0,2,-7.99,199.72,2.50,207.45,0.0942
s,2001,01,02,12,33,18,9289,29,0,1,0,0,-8.89,199.69,2.46,203.24,0.1081
s,2001,01,02,12,33,18,9289,30,1,11,0,6,-7.48,199.59,2.36,208.73,0.0852
s,2001,01,02,12,33,18,9289,31,0,4,0,2,-10.81,199.47,2.23,196.13,0.1383
s,2001,01,02,12,33,18,9289,32,0,1,0,0,-7.01,199.51,2.29,210.94,0.0775
s,2001,01,02,12,33,18,9289,33,3,8,1,4,-7.59,199.01,1.77,201.89,0.0825
s,2001,01,02,12,33,18,9289,34,0,1,0,1,-7.21,198.81,1.59,201.60,0.0751
